Frequency,Impedance
45000,4668.04
45000,4667.65
45000,4667.45
45000,4667.96
45000,4668.02
45000,4668.33
45000,4668.09
45000,4667.06
45000,4668.55
45000,4667.85
45000,4668.33
45000,4667.38
45000,4667.43
45000,4667.26
45000,4667.82
45000,4668.03
45000,4667.65
45000,4668.23
45000,4668.14
45000,4667.21
45000,4668.16
45000,4668.04
45000,4668.38
45000,4668.14
45000,4667.43
45000,4668.52
45000,4667.7
45000,4668.31
45000,4667.7
45000,4667.33
45000,4668.38
45000,4667.92
45000,4668.08
45000,4667.94
45000,4668.35
45000,4668.14
45000,4667.04
50000,4644.19
50000,4644.8
50000,4644.08
50000,4644.6
50000,4644.5
50000,4644.09
50000,4644.7
50000,4644.82
50000,4645.44
50000,4644.1
50000,4644.81
50000,4644.71
50000,4645.32
50000,4643.99
50000,4644.71
50000,4644.91
50000,4644.72
50000,4644.91
50000,4643.68
50000,4644.29
50000,4643.99
50000,4645.11
50000,4643.99
50000,4644.79
50000,4645
50000,4644.71
50000,4644.08
50000,4643.68
50000,4644.39
50000,4643.78
50000,4645.01
50000,4643.87
50000,4644.59
50000,4643.06
50000,4644.29
50000,4644.18
50000,4643.78
50000,4644.69
50000,4643.78
50000,4644.7
50000,4643.97
50000,4644.69
50000,4643.37
50000,4644.7
50000,4644.49
50000,4644.6
50000,4644.81
50000,4643.79
50000,4644.6
50000,4644.19
55000,4625.36
55000,4624.88
55000,4624.82
55000,4624.64
55000,4624.51
55000,4624.93
55000,4625.39
55000,4625.23
55000,4624.62
55000,4624.86
55000,4625.01
55000,4625.04
55000,4624.16
55000,4624.45
55000,4624.64
55000,4625.04
55000,4625.47
55000,4624.67
55000,4625.1
55000,4625.26
55000,4625.04
55000,4624.54
55000,4624.75
55000,4625.04
55000,4625.5
55000,4625.36
55000,4625.28
55000,4625.57
55000,4626.08
55000,4625.89
55000,4625.57
55000,4625.65
55000,4625.57
55000,4626.16
55000,4626.15
55000,4626.58
55000,4626.79
55000,4627.03
55000,4627.25
55000,4626.74
55000,4626.71
55000,4626.71
55000,4626.98
55000,4627.17
55000,4626.41
55000,4626.92
55000,4627.17
55000,4627.06
55000,4625.86
55000,4625.36
60000,4610.5
60000,4609.44
60000,4609.64
60000,4609.28
60000,4609.66
60000,4609.76
60000,4609.44
60000,4609.34
60000,4609.72
60000,4609.11
60000,4609.62
60000,4609.82
60000,4609.86
60000,4609.23
60000,4609.28
60000,4609.23
60000,4609.56
60000,4609.01
60000,4608.97
60000,4609.29
60000,4609.07
60000,4608.95
60000,4609.23
60000,4608.91
60000,4608.93
60000,4609.35
60000,4609.01
60000,4608.97
60000,4609.13
60000,4609.07
60000,4609.19
60000,4609.58
60000,4609.23
60000,4609.13
60000,4609.25
60000,4609.25
60000,4609.25
60000,4609.58
60000,4609.17
60000,4609.13
60000,4609.74
60000,4609.07
60000,4609.13
60000,4609.7
60000,4608.91
60000,4608.91
60000,4609.52
60000,4608.97
60000,4609.01
60000,4609.29
65000,4566.63
65000,4569.58
65000,4568.56
65000,4568.42
65000,4567.94
65000,4569.8
65000,4568.68
65000,4569.72
65000,4568.64
65000,4569.66
65000,4568.76
65000,4569.21
65000,4569.25
65000,4568.55
65000,4569.88
65000,4568.53
65000,4569.8
65000,4568.97
65000,4569.17
65000,4569.57
65000,4569.17
65000,4569.54
65000,4568.64
65000,4568.95
65000,4568.34
65000,4568.72
65000,4569.04
65000,4569.13
65000,4569.05
65000,4568.83
65000,4569.12
65000,4568.79
65000,4569.35
65000,4568.56
65000,4569.21
65000,4569.16
65000,4569.01
65000,4568.6
65000,4568.68
65000,4568.64
65000,4568.5
65000,4568.91
65000,4569.54
65000,4569.17
65000,4569.31
65000,4567.94
65000,4569.02
65000,4568.13
65000,4569.02
65000,4568.16
70000,4541.55
70000,4542.11
70000,4541.9
70000,4541.49
70000,4541.81
70000,4541.8
70000,4541.75
70000,4542.03
70000,4541.67
70000,4542.41
70000,4541.62
70000,4541.39
70000,4541.89
70000,4542.24
70000,4542.5
70000,4542.13
70000,4542.22
70000,4541.88
70000,4543.21
70000,4542.55
70000,4541.3
70000,4542.87
70000,4543.02
70000,4542.86
70000,4542.74
70000,4542.79
70000,4542.83
70000,4543.36
70000,4542.77
70000,4542.6
70000,4542.59
70000,4542.79
70000,4543.07
70000,4543.21
70000,4543.02
70000,4542.22
70000,4542.26
70000,4542.74
70000,4543.49
70000,4543.64
70000,4543.7
70000,4544.06
70000,4543.66
70000,4544.79
70000,4543.68
70000,4543.27
70000,4544.46
70000,4545.86
70000,4543.04
70000,4543.31
75000,4517.09
75000,4513.4
75000,4513.42
75000,4511.12
75000,4511.82
75000,4512.51
75000,4512.95
75000,4510.65
75000,4511.13
75000,4512.05
75000,4512.97
75000,4512.95
75000,4511.35
75000,4512.51
75000,4512.5
75000,4511.35
75000,4511.58
75000,4511.83
75000,4512.51
75000,4512.72
75000,4511.58
75000,4512.27
75000,4512.96
75000,4510.67
75000,4511.82
75000,4512.28
75000,4512.73
75000,4510.66
75000,4511.58
75000,4512.28
75000,4512.73
75000,4511.11
75000,4511.58
75000,4512.28
75000,4512.5
75000,4510.88
75000,4511.59
75000,4512.06
75000,4512.51
75000,4510.88
75000,4511.58
75000,4512.28
75000,4512.28
75000,4509.97
75000,4511.59
75000,4511.82
75000,4512.72
75000,4510.89
75000,4510.9
75000,4511.6
80000,4480.7
80000,4480.92
80000,4480.48
80000,4481.35
80000,4481.84
80000,4483.63
80000,4484.93
80000,4484.1
80000,4482.38
80000,4482.53
80000,4482.06
80000,4481.66
80000,4481.37
80000,4480.68
80000,4480.61
80000,4481.66
80000,4481.93
80000,4482.6
80000,4481.91
80000,4482.04
80000,4482.2
80000,4482.62
80000,4483.09
80000,4484.64
80000,4484.48
80000,4484.41
80000,4482.18
80000,4481.35
80000,4481.01
80000,4480.58
80000,4480.29
80000,4480.61
80000,4480.07
80000,4480.14
80000,4480.36
80000,4480.07
80000,4480.45
80000,4479.94
80000,4479.18
80000,4479.69
80000,4479.2
80000,4479.69
80000,4479
80000,4479.72
80000,4478.78
80000,4478.73
80000,4478.78
80000,4478.89
80000,4478.73
80000,4478.76
85000,4442.24
85000,4442.79
85000,4446.13
85000,4441.84
85000,4444.19
85000,4446.52
85000,4444.76
85000,4445.13
85000,4442.97
85000,4445.02
85000,4442.74
85000,4444.85
85000,4441.75
85000,4441.93
85000,4444.82
85000,4446.78
85000,4444.69
85000,4446.56
85000,4444.5
85000,4442.91
85000,4441.72
85000,4443.28
85000,4447.09
85000,4444.68
85000,4445.65
85000,4443.67
85000,4443.92
85000,4441.33
85000,4443.63
85000,4441.45
85000,4444.55
85000,4444.47
85000,4443.1
85000,4444.92
85000,4443.22
85000,4441.41
85000,4441.23
85000,4444.33
85000,4444.13
85000,4443.48
85000,4445.58
85000,4443.44
85000,4441.67
85000,4442.38
85000,4445.04
85000,4443.92
85000,4443.66
85000,4445.97
85000,4443.52
85000,4444.01
90000,4401.83
90000,4403.35
90000,4404.17
90000,4402.95
90000,4403.8
90000,4402.79
90000,4402.59
90000,4403.01
90000,4403.89
90000,4402.95
90000,4402.61
90000,4403.44
90000,4403.74
90000,4402.85
90000,4402.74
90000,4403.07
90000,4403.71
90000,4403.4
90000,4402.86
90000,4403.35
90000,4403.71
90000,4403.22
90000,4403.01
90000,4403.71
90000,4403.71
90000,4403.68
90000,4402.95
90000,4403.47
90000,4403.92
90000,4403.59
90000,4402.86
90000,4403.59
90000,4403.74
90000,4403.83
90000,4402.98
90000,4403.41
90000,4403.65
90000,4403.89
90000,4402.59
90000,4403.41
90000,4403.35
90000,4403.95
90000,4402.68
90000,4403.35
90000,4403.56
90000,4403.95
90000,4402.77
90000,4403.35
90000,4403.22
90000,4404.07
95000,4350.3
95000,4351.41
95000,4349.81
95000,4350.91
95000,4351.49
95000,4350.26
95000,4350.26
95000,4351.65
95000,4351
95000,4350.07
95000,4350.26
95000,4351.13
95000,4351.22
95000,4350.2
95000,4350.34
95000,4351.79
95000,4350.64
95000,4349.9
95000,4350.06
95000,4351.29
95000,4350.92
95000,4349.87
95000,4350.94
95000,4350.03
95000,4350.63
95000,4351.4
95000,4350.51
95000,4350.07
95000,4350.72
95000,4351.25
95000,4350.73
95000,4350.2
95000,4351
95000,4351.24
95000,4349.82
95000,4349.59
95000,4350.77
95000,4350.17
95000,4351.13
95000,4351.42
95000,4350.24
95000,4350.49
95000,4351.48
95000,4350.77
95000,4349.75
95000,4350.11
95000,4351.6
95000,4350.85
95000,4349.87
95000,4350.97
100000,4329.5
100000,4329.39
100000,4329.87
100000,4329.97
100000,4330.08
100000,4329.59
100000,4329.19
100000,4329.29
100000,4329.49
100000,4329.78
100000,4329.69
100000,4329.68
100000,4329.87
100000,4329.79
100000,4329.39
100000,4329.21
100000,4329.2
100000,4329.39
100000,4329.5
100000,4329.78
100000,4329.5
100000,4329.87
100000,4329.58
100000,4329.29
100000,4329.88
100000,4329.2
100000,4329.5
100000,4329.39
100000,4329.59
100000,4329.59
100000,4329.49
100000,4329.79
100000,4329.39
100000,4329.59
100000,4329.2
100000,4329.49
100000,4329.4
100000,4329.49
100000,4329.68
100000,4329.88
100000,4329.98
100000,4329.59
100000,4329.5
100000,4329.01
100000,4329.49
100000,4329.39
100000,4329.49
100000,4329.88
100000,4329.69
100000,4329.78
5000,4762.84
5000,4763.23
5000,4763.52
5000,4763.35
5000,4763.29
5000,4762.5
5000,4763.12
5000,4762.39
5000,4763.35
5000,4763.35
5000,4762.33
5000,4763.07
5000,4763.52
5000,4762.9
5000,4763.35
5000,4762.95
5000,4762.73
5000,4763.18
5000,4763.01
5000,4763.24
5000,4762.95
5000,4762.73
5000,4763.46
5000,4763.12
5000,4763.46
5000,4762.78
5000,4762.22
5000,4763.29
5000,4763.06
5000,4763.52
5000,4762.95
5000,4762.84
5000,4763.12
5000,4762.55
5000,4763.29
5000,4763.12
5000,4763.46
5000,4762.78
5000,4762.49
5000,4763.17
5000,4763.05
5000,4762.43
5000,4762.71
5000,4762.43
5000,4763.33
5000,4763.16
5000,4763.38
5000,4763.05
5000,4762.65
5000,4763.21
10000,4744.93
10000,4744.88
10000,4745
10000,4744.62
10000,4744.93
10000,4745.18
10000,4744.83
10000,4744.77
10000,4745.24
10000,4744.77
10000,4744.93
10000,4744.93
10000,4744.9
10000,4745.13
10000,4745.34
10000,4744.93
10000,4745.16
10000,4745.41
10000,4744.75
10000,4745.03
10000,4745.08
10000,4745.03
10000,4744.9
10000,4745
10000,4744.83
10000,4745.13
10000,4745.18
10000,4744.95
10000,4745.64
10000,4745.21
10000,4744.95
10000,4744.98
10000,4745.03
10000,4744.8
10000,4745.36
10000,4745.23
10000,4744.39
10000,4745.34
10000,4744.95
10000,4744.72
10000,4745.36
10000,4745.23
10000,4744.93
10000,4745.24
10000,4745.84
10000,4746.31
15000,4748.13
15000,4747.82
15000,4748.13
15000,4748.78
15000,4748.43
15000,4747.99
15000,4748.14
15000,4748.5
15000,4748.49
15000,4747.9
15000,4747.83
15000,4748.12
15000,4747.96
15000,4747.54
15000,4748.35
15000,4747.76
15000,4747.68
15000,4748.19
15000,4748.56
15000,4747.85
15000,4747.62
15000,4747.47
15000,4748.42
15000,4748.21
15000,4748.79
15000,4748.19
15000,4747.82
15000,4748.3
15000,4748.07
15000,4747.93
15000,4748.44
15000,4748.5
15000,4748.35
20000,4694.89
20000,4695.51
20000,4695.09
20000,4694.99
20000,4694.78
20000,4695.29
20000,4694.79
20000,4694.99
20000,4694.79
20000,4695.3
20000,4694.38
20000,4695.2
20000,4694.79
20000,4695
20000,4694.17
20000,4695.2
20000,4694.68
20000,4695
20000,4694.38
20000,4695.4
20000,4696.33
20000,1166714
20000,4695.5
20000,4695.19
20000,4695.18
20000,4694.68
20000,4695.2
20000,4694.58
20000,4694.99
20000,4694.89
20000,4695.51
20000,4694.07
20000,4695.1
20000,4694.79
20000,4695
20000,4694.59
20000,4695.3
20000,4694.48
20000,4694.58
20000,4694.68
20000,4695.41
20000,4694.48
20000,4694.99
20000,4695
20000,4695.2
20000,4694.48
20000,4694.79
20000,4695.41
20000,4695.2
25000,4715.17
25000,4715.68
25000,4715.94
25000,4715.62
25000,4715.62
25000,4714.91
25000,4714.91
25000,4715.68
25000,4714.98
25000,4715.11
25000,4715.23
25000,4715.88
25000,4715.49
25000,4716.07
25000,4714.91
25000,4714.59
25000,4715.55
25000,4715.36
25000,4715.68
25000,4714.78
25000,4714.98
25000,4715.3
25000,4715.49
25000,4715.49
25000,4716.26
25000,4715.88
25000,4715.23
25000,4715.68
25000,4715.43
25000,4715.43
25000,4715.88
25000,4715.23
25000,4715.49
25000,4715.94
25000,4715.68
25000,4715.49
25000,4715.36
25000,4714.98
25000,4715.55
25000,4715.04
25000,4716.13
25000,4714.59
25000,4715.3
25000,4715.88
25000,4715.49
25000,4715.68
25000,4715.81
25000,4714.85
25000,4715.68
25000,4716
30000,4697.82
30000,4698.32
30000,4698.67
30000,4698.64
30000,4698.5
30000,4698.62
30000,4698.07
30000,4697.99
30000,4698.47
30000,4697.84
30000,4698.39
30000,4698.59
30000,4698.2
30000,4698.32
30000,4698.09
30000,4698.29
30000,4698.79
30000,4698.94
30000,4698.29
30000,4697.99
30000,4698.5
30000,4697.84
30000,4698.44
30000,4698.52
30000,4697.72
30000,4698.34
30000,4697.99
30000,4698.44
30000,4698.52
30000,4698.22
30000,4698.37
30000,4698.37
30000,4698.29
30000,4698.34
30000,4698.67
30000,4698.2
30000,4697.97
30000,4698.5
30000,4698.02
30000,4698.2
30000,4698.55
30000,4698.12
30000,4698.22
30000,4697.9
30000,4698.37
30000,4698.72
30000,4698.57
30000,4698.25
30000,4698.05
30000,4698.34
35000,4695.15
35000,4694.38
35000,4695.26
35000,4695.57
35000,4694.99
35000,4694.68
35000,4694.69
35000,4695.8
35000,4695.9
35000,4694.89
35000,4695.36
35000,4695.02
35000,4694.43
35000,4696.43
35000,4696.35
35000,4695.9
35000,4696.16
35000,4695.36
35000,4695.61
35000,4693.92
35000,4694.54
35000,4696.21
35000,4696.17
35000,4695.86
35000,4696.31
35000,4695.48
35000,4695.37
35000,4694.07
35000,4694.52
35000,4695.89
35000,4696.31
35000,4696.03
35000,4695.53
35000,4694.73
35000,4695.69
35000,4694.26
35000,4695.06
35000,4696.21
35000,4696.32
35000,4695.85
35000,4695.56
35000,4694.89
35000,4695.37
35000,4694.41
35000,4695.19
35000,4695.86
35000,4695.76
35000,4694.92
35000,4695.53
35000,4694.59
40000,4681.06
40000,4681.47
40000,4680.82
40000,4681.42
40000,4681.24
40000,4681.33
40000,4681.15
40000,4681.15
40000,4681.42
40000,4681.24
40000,4681.19
40000,4681.38
40000,4681.05
40000,4681.01
40000,4681.29
40000,4681.01
40000,4681.05
40000,4681.15
40000,4681.15
40000,4681.33
40000,4680.92
40000,4681.65
40000,4681.38
40000,4681.2
40000,4681.1
40000,4681.47
40000,4681.38
40000,4681.29
40000,4681.66
40000,4681.28
40000,4681.01
40000,4681.61
40000,4681.38
40000,4681.38
40000,4681.1
40000,4681.2
40000,4681.75
40000,4681.15
40000,4681.65
40000,4681.33
40000,4681.24
40000,4681.1
40000,4681.38
40000,4681.79
40000,4681.42
40000,4681.1
40000,4680.87
40000,4682.02
40000,4681.33
40000,4681.05
45000,4665.8
45000,4666.84
45000,4666.66
45000,4666.48
45000,4667.09
45000,4667.17
45000,4666.2
45000,4666.89
45000,4666.6
45000,4667.68
45000,4666.98
45000,4666.11
45000,4667.21
45000,4666.76
45000,4667.6
45000,4666.91
45000,4665.8
45000,4666.93
45000,4666.84
45000,4667.52
45000,4666.44
45000,4666.23
45000,4666.98
45000,4666.84
45000,4667.13
45000,4665.65
45000,4667.14
45000,4666.12
45000,4667.18
45000,4666.58
45000,4666.52
45000,4666.7
45000,4666.4
45000,4667.13
45000,4667.29
45000,4667.52
45000,4666.08
45000,4665.84
45000,4667.06
45000,4666.92
45000,4666.98
45000,4666.72
45000,4666.47
45000,4667.18
45000,4666.24
45000,4667.29
50000,4643.42
50000,4642.36
50000,4643.51
50000,4642.1
50000,4643.14
50000,4643.2
50000,4642.72
50000,4643.51
50000,4642.52
50000,4643.41
50000,4642.76
50000,4643.3
50000,4643.42
50000,4643.02
50000,4643.29
50000,4642.82
50000,4643.52
50000,4642.49
50000,4643.28
50000,4642.88
50000,4643.21
50000,4643.11
50000,4642.72
50000,4643.3
50000,4642.9
50000,4643.3
50000,4642.31
50000,4643.47
50000,4642.7
50000,4643.22
50000,4643.32
50000,4642.81
50000,4643
50000,4642.7
50000,4643.17
50000,4642.25
50000,4643.33
50000,4642.89
50000,4643.31
50000,4643.01
50000,4642.7
50000,4643.45
50000,4642.75
50000,4643.56
50000,4642.2
50000,4643.43
50000,4642.8
50000,4643.32
50000,4643.01
50000,4642.67
55000,4623.29
55000,4623.16
55000,4623.1
55000,4623.35
55000,4623.78
55000,4623.67
55000,4623.21
55000,4622.86
55000,4623.72
55000,4623.64
55000,4623.18
55000,4623.08
55000,4623.16
55000,4623.82
55000,4623.94
55000,4623.16
55000,4623.24
55000,4623.37
55000,4623.61
55000,4623.24
55000,4623
55000,4623.33
55000,4623.8
55000,4623.8
55000,4623.27
55000,4623.37
55000,4623.57
55000,4623.74
55000,4622.83
55000,4623.21
55000,4623.57
55000,4623.47
55000,4623.88
55000,4623.21
55000,4623.37
55000,4623.64
55000,4623.74
55000,4622.83
55000,4623.02
55000,4623.27
55000,4623.61
55000,4623.72
55000,4622.84
55000,4623.29
55000,4623.57
55000,4623.64
55000,4623.16
55000,4623.29
55000,4623.39
55000,4623.67
60000,4608.05
60000,4607.83
60000,4607.78
60000,4607.89
60000,4608.11
60000,4607.89
60000,4607.89
60000,4608
60000,4607.77
60000,4608
60000,4608
60000,4607.94
60000,4607.62
60000,4608
60000,4607.89
60000,4607.67
60000,4608.11
60000,4607.67
60000,4607.72
60000,4608
60000,4607.77
60000,4607.5
60000,4607.78
60000,4607.83
60000,4607.54
60000,4607.77
60000,4608.1
60000,4607.55
60000,4607.88
60000,4607.88
60000,4607.43
60000,4607.71
60000,4607.82
60000,4607.49
60000,4607.55
60000,4607.93
60000,4607.5
60000,4607.62
60000,4608
60000,4607.5
60000,4607.72
60000,4607.84
60000,4607.56
60000,4607.94
60000,4607.67
60000,4607.62
60000,4607.67
60000,4607.89
60000,4607.62
60000,4607.72
65000,4564.72
65000,4565.27
65000,4565.35
65000,4565.24
65000,4565.42
65000,4564.93
65000,4565.2
65000,4564.38
65000,4565.53
65000,4564.6
65000,4565.31
65000,4564.49
65000,4565.16
65000,4564.9
65000,4564.83
65000,4564.79
65000,4564.56
65000,4564.79
65000,4565.01
65000,4564.86
65000,4565.27
65000,4565.35
65000,4565.24
65000,4564.45
65000,4565.31
65000,4564.41
65000,4565.46
65000,4564.34
65000,4565.2
65000,4564.79
65000,4565.09
65000,4564.83
65000,4564.41
65000,4564.79
65000,4564.56
65000,4564.83
65000,4564.34
65000,4564.83
65000,4564.94
65000,4564.86
65000,4564.9
65000,4564.64
65000,4565.13
65000,4565.24
65000,4565.16
65000,4564.34
65000,4565.38
65000,4565.05
65000,4564.56
65000,4564.6
70000,4537.19
70000,4537.89
70000,4537.3
70000,4537.59
70000,4537.48
70000,4537.8
70000,4537.94
70000,4537.73
70000,4538.1
70000,4537.46
70000,4537.23
70000,4537.72
70000,4537.64
70000,4537.72
70000,4537.82
70000,4537.86
70000,4537.75
70000,4537.1
70000,4537.25
70000,4536.99
70000,4537.72
70000,4537.78
70000,4537.73
70000,4537.8
70000,4538.12
70000,4537.75
70000,4538.33
70000,4537.46
70000,4537.19
70000,4537.69
70000,4537.88
70000,4538.15
70000,4537.76
70000,4537.91
70000,4537.51
70000,4536.85
70000,4537.44
70000,4537.43
70000,4537.72
70000,4537.78
70000,4537.75
70000,4537.93
70000,4537.91
70000,4537.72
70000,4537.2
70000,4537.95
70000,4537.14
70000,4537.44
70000,4537.75
70000,4538.07
75000,4507.87
75000,4509.95
75000,4509.5
75000,4509.29
75000,4509.96
75000,4507.88
75000,4508.82
75000,4509.53
75000,4509.74
75000,4507.65
75000,4508.61
75000,4509.51
75000,4510.19
75000,4507.42
75000,4508.37
75000,4509.52
75000,4509.97
75000,4506.91
75000,4507.87
75000,4508.59
75000,4509.3
75000,4509.98
75000,4508.12
75000,4508.82
75000,4509.29
75000,4509.74
75000,4508.32
75000,4509.05
75000,4509.3
75000,4509.96
75000,4508.09
75000,4509.04
75000,4509.96
75000,4509.96
75000,4507.42
75000,4508.82
75000,4509.29
75000,4510.18
75000,4507.63
75000,4508.58
75000,4509.28
75000,4509.96
75000,4508.08
75000,4508.58
75000,4509.29
75000,4509.72
75000,4507.85
75000,4508.77
75000,4509.5
75000,4509.95
80000,4477.33
80000,4478.67
80000,4478.32
80000,4478.91
80000,4478.39
80000,4479.58
80000,4480.3
80000,4478.77
80000,4477.8
80000,4478.99
80000,4478.62
80000,4478.49
80000,4477.78
80000,4477.8
80000,4478.94
80000,4478.74
80000,4478.15
80000,4478.27
80000,4479.58
80000,4479.93
80000,4479.06
80000,4478.62
80000,4479.53
80000,4480.84
80000,4479.73
80000,4478.3
80000,4478.64
80000,4479.04
